Note;f0;L;d;ρ;T0;Ru;Rv;Rφ;ηu;ηv;ηφ;p;xH;MH;KH;RH;x0;y0
E2;82.59;1.944;1.112;7850;786;8.5 × 10−02;5.0 × 10−01;8.5 × 10−02;2.1 × 10−09;1.0 × 10−09;2.1 × 10−09;2.280;0.233;9.95;5.063 × 1008;3.445 × 1005;0.62;1.11
F2;87.51;1.841;1.126;7850;812;9.0 × 10−02;5.0 × 10−01;9.0 × 10−02;2.1 × 10−09;1.0 × 10−09;2.1 × 10−09;2.282;0.221;9.89;5.722 × 1008;3.521 × 1005;0.23;1.58
Fd2;92.71;1.744;1.139;7850;837;9.5 × 10−02;5.0 × 10−01;9.5 × 10−02;2.1 × 10−09;1.0 × 10−09;2.1 × 10−09;2.285;0.209;9.83;6.466 × 1008;3.598 × 1005;0.25;1.49
G2;98.22;1.652;1.151;7850;859;1.0 × 10−01;5.0 × 10−01;1.0 × 10−01;2.2 × 10−09;1.0 × 10−09;2.2 × 10−09;2.288;0.198;9.77;7.307 × 1008;3.677 × 1005;0.27;1.41
Ab2;104.06;1.564;1.160;7850;879;1.0 × 10−01;5.0 × 10−01;1.0 × 10−01;2.2 × 10−09;1.0 × 10−09;2.2 × 10−09;2.292;0.188;9.70;8.257 × 1008;3.758 × 1005;0.30;1.34
A2;110.25;1.482;1.167;7850;896;1.1 × 10−01;5.0 × 10−01;1.1 × 10−01;2.2 × 10−09;1.0 × 10−09;2.2 × 10−09;2.296;0.178;9.64;9.331 × 1008;3.841 × 1005;0.32;1.26
Ad2;116.81;1.403;1.171;7850;909;1.2 × 10−01;5.0 × 10−01;1.2 × 10−01;2.3 × 10−09;1.0 × 10−09;2.3 × 10−09;2.301;0.168;9.58;1.054 × 1009;3.925 × 1005;0.35;1.19
B2;123.75;1.329;1.173;7850;919;1.2 × 10−01;5.0 × 10−01;1.2 × 10−01;2.3 × 10−09;1.0 × 10−09;2.3 × 10−09;2.306;0.160;9.52;1.192 × 1009;4.011 × 1005;0.37;1.13
C3;131.11;1.259;1.174;7850;925;1.2 × 10−01;5.0 × 10−01;1.2 × 10−01;2.3 × 10−09;1.0 × 10−09;2.3 × 10−09;2.312;0.151;9.45;1.347 × 1009;4.100 × 1005;0.40;1.06
Cd3;138.90;1.192;1.171;7850;929;1.3 × 10−01;5.0 × 10−01;1.3 × 10−01;2.3 × 10−09;1.0 × 10−09;2.3 × 10−09;2.318;0.143;9.39;1.522 × 1009;4.190 × 1005;0.42;1.01
D3;147.17;1.129;1.168;7850;929;1.4 × 10−01;5.0 × 10−01;1.4 × 10−01;2.4 × 10−09;1.0 × 10−09;2.4 × 10−09;2.325;0.136;9.33;1.720 × 1009;4.282 × 1005;0.45;0.95
Dd3;155.91;1.070;1.162;7850;926;1.4 × 10−01;5.0 × 10−01;1.4 × 10−01;2.4 × 10−09;1.0 × 10−09;2.4 × 10−09;2.332;0.128;9.27;1.943 × 1009;4.376 × 1005;0.47;0.90
E3;165.19;1.013;1.155;7850;921;1.4 × 10−01;5.0 × 10−01;1.4 × 10−01;2.4 × 10−09;1.0 × 10−09;2.4 × 10−09;2.339;0.122;9.20;2.196 × 1009;4.472 × 1005;0.49;0.85
F3;175.01;0.960;1.146;7850;914;1.5 × 10−01;5.0 × 10−01;1.5 × 10−01;2.4 × 10−09;1.0 × 10−09;2.4 × 10−09;2.347;0.115;9.14;2.481 × 1009;4.570 × 1005;0.51;0.80
Fd3;185.41;0.909;1.136;7850;905;1.5 × 10−01;5.0 × 10−01;1.5 × 10−01;2.5 × 10−09;1.0 × 10−09;2.5 × 10−09;2.356;0.109;9.08;2.804 × 1009;4.670 × 1005;0.54;0.75
G3;196.45;0.861;1.126;7850;895;1.6 × 10−01;5.0 × 10−01;1.6 × 10−01;2.5 × 10−09;1.0 × 10−09;2.5 × 10−09;2.365;0.103;9.02;3.169 × 1009;4.773 × 1005;0.56;0.71
Ab3;208.12;0.816;1.114;7850;883;1.7 × 10−01;5.0 × 10−01;1.7 × 10−01;2.5 × 10−09;1.0 × 10−09;2.5 × 10−09;2.375;0.098;8.96;3.581 × 1009;4.878 × 1005;0.58;0.67
A3;220.49;0.773;1.102;7850;870;1.7 × 10−01;5.0 × 10−01;1.7 × 10−01;2.6 × 10−09;1.0 × 10−09;2.6 × 10−09;2.385;0.093;8.89;4.047 × 1009;4.985 × 1005;0.60;0.63
Ad3;233.62;0.732;1.090;7850;857;1.7 × 10−01;5.0 × 10−01;1.7 × 10−01;2.6 × 10−09;1.0 × 10−09;2.6 × 10−09;2.395;0.088;8.83;4.573 × 1009;5.095 × 1005;0.62;0.60
B3;247.52;0.694;1.077;7850;843;1.8 × 10−01;5.0 × 10−01;1.8 × 10−01;2.6 × 10−09;1.0 × 10−09;2.6 × 10−09;2.406;0.083;8.77;5.168 × 1009;5.206 × 1005;0.64;0.56
C4;262.22;0.657;1.064;7850;829;1.8 × 10−01;5.0 × 10−01;1.8 × 10−01;2.6 × 10−09;1.0 × 10−09;2.6 × 10−09;2.418;0.079;8.71;5.840 × 1009;5.321 × 1005;0.66;0.53
Cd4;277.81;0.622;1.051;7850;815;1.9 × 10−01;5.0 × 10−01;1.9 × 10−01;2.7 × 10−09;1.0 × 10−09;2.7 × 10−09;2.430;0.075;8.64;6.599 × 1009;5.438 × 1005;0.68;0.50
